rp,CETELI_WIFI,CETELI_TREINAMENTOS,CETELI_P&D,VISITANTE_CETELI,eduroam,wifi-zone-ufam-1,dlink-9A00,TPV,BRITO_AP,S80
2,-59.0,-59.0,-59.0,-62.0,-72.0,-73.0,-59.0,-74.0,-100.0,-100.0
2,-58.0,-57.0,-58.0,-58.0,-74.0,-74.0,-61.0,-74.0,-100.0,-84.0
3,-60.0,-60.0,-58.0,-62.0,-69.0,-69.0,-62.0,-71.0,-100.0,-85.0
3,-52.0,-53.0,-54.0,-53.0,-68.0,-68.0,-62.0,-72.0,-85.0,-100.0
3,-55.0,-55.0,-55.0,-55.0,-68.0,-68.0,-62.0,-74.0,-100.0,-85.0
3,-54.0,-54.0,-53.0,-54.0,-69.0,-68.0,-63.0,-74.0,-100.0,-100.0
3,-51.0,-51.0,-52.0,-52.0,-69.0,-69.0,-60.0,-80.0,-100.0,-100.0
3,-54.0,-53.0,-53.0,-54.0,-67.0,-68.0,-59.0,-68.0,-87.0,-100.0
3,-54.0,-54.0,-53.0,-54.0,-66.0,-66.0,-57.0,-73.0,-87.0,-86.0
3,-54.0,-56.0,-55.0,-55.0,-67.0,-67.0,-62.0,-74.0,-91.0,-100.0
3,-54.0,-53.0,-53.0,-53.0,-66.0,-66.0,-66.0,-76.0,-100.0,-100.0
3,-54.0,-54.0,-54.0,-54.0,-66.0,-66.0,-64.0,-72.0,-87.0,-100.0
3,-55.0,-55.0,-55.0,-55.0,-69.0,-69.0,-58.0,-70.0,-100.0,-85.0
3,-58.0,-55.0,-55.0,-54.0,-68.0,-68.0,-55.0,-74.0,-87.0,-85.0
3,-54.0,-54.0,-54.0,-54.0,-68.0,-68.0,-100.0,-73.0,-86.0,-86.0
3,-55.0,-55.0,-55.0,-55.0,-67.0,-67.0,-61.0,-70.0,-89.0,-85.0
3,-58.0,-60.0,-58.0,-58.0,-68.0,-69.0,-64.0,-73.0,-100.0,-100.0
3,-52.0,-52.0,-52.0,-53.0,-67.0,-67.0,-56.0,-73.0,-86.0,-100.0
3,-51.0,-51.0,-51.0,-51.0,-68.0,-68.0,-100.0,-72.0,-87.0,-100.0
3,-55.0,-55.0,-54.0,-55.0,-67.0,-67.0,-57.0,-71.0,-100.0,-100.0
